Time,X,Y,Psi,Roll,Rollrate,Delta,Velocity
0,0,-10,0.0750000000000007,0,0,0,2
0.005,0.00997188818112207,-9.99925070292727,0.0750000000000007,-4.903290204202e-23,-1.96709626271037e-20,-1.18905142124545e-20,2
0.01,0.0199437763622441,-9.99850140585454,0.0750000000000007,-1.97283941951209e-22,-3.96888298137186e-20,-2.3781028424909e-20,2
0.015,0.0299156645433662,-9.99775210878182,0.0750000000000007,-4.68144571115882e-22,-6.87419032527311e-20,-4.09176510544349e-20,2
0.02,0.0398875527244883,-9.99700281170909,0.0750000000000007,-8.85562323460829e-22,-9.831400531819e-20,-5.80542736839608e-20,2
0.025,0.0498594409056104,-9.99625351463636,0.0750000000000007,-1.48513851642007e-21,-1.41646515543119e-19,-8.31864788774479e-20,2
0.03,0.0598313290867324,-9.99550421756363,0.0750000000000007,-2.30331976773325e-21,-1.85759498722566e-19,-1.08318684070935e-19,2
0.035,0.0698032172678545,-9.9947549204909,0.0750000000000007,-3.32498173588124e-21,-2.23019844792364e-19,-1.2882431161586e-19,2
0.04,0.0797751054489766,-9.99400562341818,0.0750000000000007,-4.53465678011846e-21,-2.60967714254469e-19,-1.49329939160785e-19,2
0.045,0.0897469936300987,-9.99325632634545,0.0750000000000007,-5.99831934298284e-21,-3.24691560934621e-19,-1.84989964513346e-19,2
0.05,0.0997188818112207,-9.99250702927272,0.0750000000000007,-7.783502916607e-21,-3.89581222978801e-19,-2.20649989865907e-19,2
0.055,0.109690769992343,-9.99175773219999,0.0750000000000007,-9.9261227854659e-21,-4.67706654300735e-19,-2.63587426962366e-19,2
0.06,0.119662658173465,-9.99100843512726,0.0750000000000007,-1.24629540829708e-20,-5.47272053296356e-19,-3.06524864058826e-19,2
0.065,0.129634546354587,-9.99025913805453,0.0750000000000007,-1.5435525186013e-20,-6.42049309001075e-19,-3.57764294183332e-19,2
0.07,0.139606434535709,-9.98950984098181,0.0750000000000007,-1.88863585876007e-20,-7.38584566475149e-19,-4.09003724307838e-19,2
0.075,0.149578322716831,-9.98876054390908,0.0750000000000007,-2.28495341304703e-20,-8.47023579851621e-19,-4.66348413559819e-19,2
0.08,0.159550210897953,-9.98801124683635,0.0750000000000007,-2.73599533246899e-20,-9.57490716700519e-19,-5.23693102811799e-19,2
0.085,0.169522099079075,-9.98726194976362,0.0750000000000007,-3.2511197882068e-20,-1.10346078869443e-18,-6.01240799613904e-19,2
0.09,0.179493987260197,-9.98651265269089,0.0750000000000007,-3.83990706349913e-20,-1.25215369156041e-18,-6.78788496416009e-19,2
0.095,0.189465875441319,-9.98576335561817,0.0750000000000007,-4.50340688668075e-20,-1.40231901608299e-18,-7.55537924714686e-19,2
0.1,0.199437763622441,-9.98501405854544,0.0750000000000007,-5.2426966776143e-20,-1.55532559853777e-18,-8.32287353013363e-19,2
0.105,0.209409651803564,-9.98426476147271,0.0750000000000007,-7.8006507451561e-21,1.94675868802928e-17,1.18929401360464e-17,2
0.11,0.219381539984686,-9.98351546439998,0.0750000000000007,1.42862293720016e-19,4.08610086473281e-17,2.46181676251062e-17,2
0.115,0.229353428165808,-9.98276616732725,0.0750000000000007,4.04635948226919e-19,6.39173516973517e-17,3.81185147423642e-17,2
0.12,0.23932531634693,-9.98201687025453,0.0750000000000007,7.82720459892391e-19,8.73871977209371e-17,5.16188618596222e-17,2
0.125,0.249297204528052,-9.9812675731818,0.0750000000000007,1.27720887367739e-18,1.10478432019611e-16,6.46337014084932e-17,2
0.13,0.259269092709174,-9.98051827610907,0.0750000000000007,1.88820308329424e-18,1.33991365653358e-16,7.76485409573641e-17,2
0.135,0.269240980890296,-9.97976897903634,0.0750000000000007,2.61465744260934e-18,1.56660624708829e-16,8.98917894653717e-17,2
0.14,0.279212869071418,-9.97901968196361,0.0750000000000007,3.45550754071472e-18,1.79751477567065e-16,1.02135037973379e-16,2
0.145,0.28918475725254,-9.97827038489089,0.0750000000000007,4.40959689509511e-18,2.01954297353856e-16,1.13580066287753e-16,2
0.15,0.299156645433662,-9.97752108781816,0.0750000000000007,5.47574668111861e-18,2.24577429829672e-16,1.25025094602127e-16,2
0.155,0.309128533614784,-9.97677179074543,0.0750000000000007,6.65288283641064e-18,2.4634688364737e-16,1.35693576818961e-16,2
0.16,0.319100421795906,-9.9760224936727,0.0750000000000007,7.93990995116088e-18,2.68535559042666e-16,1.46362059035796e-16,2
0.165,0.329072309977028,-9.97527319659997,0.0750000000000007,9.3357803460673e-18,2.89882238155076e-16,1.56261840332476e-16,2
0.17,0.33904419815815,-9.97452389952725,0.0750000000000007,1.08394247276434e-17,3.11646865783445e-16,1.66161621629156e-16,2
0.175,0.349016086339272,-9.97377460245452,0.0750000000000007,1.2449981037972e-17,3.32645245539259e-16,1.75339380216467e-16,2
0.18,0.358987974520394,-9.97302530538179,0.0750000000000007,1.41665691259519e-17,3.54061261494086e-16,1.84517138803778e-16,2
0.185,0.368959862701516,-9.97227600830906,0.0750000000000007,1.59883623339681e-17,3.74725546033684e-16,1.92981937721481e-16,2
0.19,0.378931750882639,-9.97152671123633,0.0750000000000007,1.79145159660987e-17,3.95807089479384e-16,2.01446736639185e-16,2
0.195,0.388903639063761,-9.9707774141636,0.0750000000000007,1.99442524299926e-17,4.1615696539524e-16,2.09211027424061e-16,2
0.2,0.398875527244883,-9.97002811709088,0.0750000000000007,2.20767765115604e-17,4.36923770130263e-16,2.16975318208937e-16,2
0.205,0.408847415426005,-9.96927882001815,0.0750000000000007,2.43064644017223e-17,4.55015040175907e-16,2.22864380090775e-16,2
