Time,X_estimated,Y_estimated,Psi_estimated,Roll_estimated,Rollrate_estimated,Delta_estimated,Velocity_estimated,GPS_X,GPS_Y,a_y,w_x,w_z,Delta_enc,Velocity,Steerrate
0,0.00757421406667336,-9.99943086641915,0.0750000000000007,0,0,0,1.99729088668935,0,-10,0,0,0,0,2,0
0.01,0.0274909754539138,-9.99793430220437,0.0750000000000007,1.00753509299087e-19,2.43992495652914e-21,-2.18556144864303e-20,1.99731506877588,0,-10,5.64492499805558e-21,-3.96888298137186e-20,-4.08161770330354e-20,-2.3781028424909e-20,2,-2.3781028424909e-18
0.02,0.0474079779822171,-9.99643771987002,0.0750000000000007,1.59851825928115e-19,-3.71250404818226e-20,-5.64034993360022e-20,1.99733903500828,0,-10,2.24344253867804e-20,-9.831400531819e-20,-9.96404978737964e-20,-5.80542736839608e-20,2,-3.42732452590519e-18
0.03,0.06732521949911,-9.99494111957785,0.0750000000000007,2.3536535299874e-19,-9.9495317059211e-20,-1.0647378380213e-19,1.99736278731331,0,-10,5.58056361682729e-20,-1.85759498722566e-19,-1.85910991990315e-19,-1.08318684070935e-19,2,-5.02644103869741e-18
0.04,0.0872426978713327,-9.99344450148814,0.0750000000000007,2.05495838470244e-19,-1.94950717467754e-19,-1.49479438746036e-19,1.99738632760051,0,-10,1.06054558691927e-19,-2.60967714254469e-19,-2.56299985190499e-19,-1.49329939160785e-19,2,-4.10112550898497e-18
0.05,0.107160410984667,-9.99194786575976,0.0750000000000007,3.26761936911525e-19,-2.75219472185041e-19,-2.18484681913937e-19,1.99740965776241,0,-10,1.79909753893032e-19,-3.89581222978801e-19,-3.78708981284891e-19,-2.20649989865907e-19,2,-7.1320050705122e-18
0.06,0.127078356743767,-9.99045121255016,0.0750000000000007,4.02686066790541e-19,-4.086945009361e-19,-3.045809739897e-19,1.99743277967462,0,-10,2.85281474653336e-19,-5.47272053296356e-19,-5.26098909303164e-19,-3.06524864058826e-19,2,-8.58748741929194e-18
0.07,0.14699653307199,-9.98895454201539,0.0750000000000007,4.78951970525647e-19,-5.75838654913131e-19,-4.07150503312197e-19,1.99745569519602,0,-10,4.2900492407725e-19,-7.38584566475149e-19,-7.01986815718776e-19,-4.09003724307838e-19,2,-1.02478860249012e-17
0.08,0.16691493791123,-9.98745785431007,0.0750000000000007,5.3483568500826e-19,-7.78890790531118e-19,-5.22279577623207e-19,1.99747840616891,0,-10,6.17378679446301e-19,-9.57490716700519e-19,-8.98832044326436e-19,-5.23693102811799e-19,2,-1.14689378503961e-17
0.09,0.186833569221753,-9.9859611495875,0.0750000000000007,7.05078151569531e-19,-1.00822133880115e-18,-6.75326585363462e-19,1.99750091441911,0,-10,8.63124641040697e-19,-1.25215369156041e-18,-1.16502747243194e-18,-6.78788496416009e-19,2,-1.5509539360421e-17
0.1,0.20221607096468,-9.98480529391423,0.0750000000000583,7.11688566479392e-19,-1.31949555441498e-18,-8.31400007698299e-19,1.99652961622771,0.199437763622442,-9.98501405854544,1.17280511543474e-18,-1.55532559853777e-18,-1.42848271050245e-18,-8.32287353013363e-19,2,-1.53498856597354e-17
