Lat GPS (deg),Long GPS (deg),Accelerometer Y (rad/s^2),Gyroscope X (rad/s),Gyroscope Z (rad/s),Steering Angle encoder(rad),Speed VESC (rad/s),Time (ms),Time,flag,Input,Reset Traj,State Estimate X (m),State Estimate Y (m),State Estimate Psi (rad),State Estimate Roll (rad),State Estimate Rollrate (rad/s),State Estimate Delta (rad),State Estimate Velocity (m/s),Steerrate input (rad/s),Rollref,Closestpoint,Error1,Error2,Dpsiref contribution,Lateral contribution,Heading contribution,State Estimator Iterations,Trajectory Iterations
0.0000000000,0.0000000000,-1.922532,-0.00711,0.004726,0.379284,0,5880527,0,0,0,0,5.06909,0.573507,-0.060826,-0.094947,-0.007808,0.120124,0,0,0,1,0.011586,0.023338,0,-0.000052,-0.002259,9,9
0.0000000000,0.0000000000,-1.9345,-0.01047,0.003351,0.379284,-0.031416,5880626,0,0,0,0,5.069776,0.588974,-0.029637,-0.094737,-0.008013,0.121242,-0.000838,0,0,1,0.027054,0.054524,0,-0.000121,-0.005277,19,19
0.0000000000,0.0000000000,-1.941681,-0.004819,0.007016,0.379284,0,5880726,0,0,0,0,5.069937,0.604399,0.001440,-0.093995,-0.008608,0.120881,-0.000766,0,0,1,0.042443,0.08561,0,-0.00019,-0.008285,29,29
0.0000000000,0.0000000000,-1.932107,-0.004514,0.006253,0.379284,-0.027227,5880827,0,0,0,0,5.069592,0.619838,0.032550,-0.093746,-0.008236,0.121008,-0.001427,0,0,1,0.059323,0.119816,0,-0.000265,-0.011596,39,39
1.0068355556,0.2090881086,-1.923729,-0.006499,0.001824,0.379284,-0.030997,5880927,0,1,0,0,5.068699,0.635245,0.063637,-0.094596,-0.008709,0.121242,-0.002131,0,0,1,0.074594,0.150904,0,-0.000334,-0.014604,49,49
1.0068355556,0.2090881086,-1.920138,-0.005125,0.003809,0.379284,-0.035186,5881027,0,2,0,0,5.067257,0.650601,0.094705,-0.094167,-0.008126,0.121845,-0.002887,0,0,1,0.089765,0.181972,0,-0.000401,-0.017611,59,59
1.0068355556,0.2090881056,-1.921335,-0.004972,0.000908,0.379284,-0.039794,5881127,0,3,0,0,5.065253,0.665948,0.125880,-0.09378,-0.007682,0.120904,-0.0037,0,0,1,0.10488,0.213146,0,-0.000469,-0.020628,69,69
1.0068355527,0.2090881086,-1.906973,-0.010928,0.007475,0.379284,-0.044401,5881227,0,4,0,0,5.062697,0.681169,0.156962,-0.094708,-0.008954,0.121246,-0.004567,0,0,1,0.11982,0.244229,0,-0.000536,-0.023636,79,79
1.0068355556,0.2090881086,-1.914154,-0.007721,0.005795,0.379284,-0.043563,5881327,0,5,0,0,5.059579,0.696336,0.188140,-0.093823,-0.008788,0.121202,-0.005338,0,0,1,0.133177,0.27228,0,-0.000596,-0.026351,89,89
1.0068355556,0.2090881086,-1.939288,-0.003903,0.003962,0.379284,-0.038956,5881428,0,6,0,0,5.055921,0.711389,0.219327,-0.094745,-0.006267,0.121774,-0.005919,0,0,1,0.147871,0.303468,0,-0.000661,-0.02937,99,99
1.0068355556,0.2090881144,-1.914154,-0.002376,0.002893,0.379284,-0.035186,5881527,0,7,0,0,5.051746,0.726310,0.250517,-0.095183,-0.008083,0.120824,-0.00635,0,0,1,0.162395,0.334669,0,-0.000726,-0.032389,109,109
1.0068355585,0.2090881173,-1.909367,-0.005583,0.004878,0.379284,-0.032673,5881626,0,8,0,0,5.047069,0.741087,0.281715,-0.094698,-0.009476,0.121299,-0.006677,0,0,1,0.17673,0.365871,0,-0.00079,-0.035409,119,119
1.0068355614,0.2090881231,-1.910564,-0.005888,0.003351,0.379284,-0.036442,5881727,0,9,0,0,5.041892,0.755723,0.312960,-0.094074,-0.006915,0.120587,-0.007076,0,0,1,0.190881,0.397116,0,-0.000854,-0.038433,129,129
1.0068355585,0.2090881202,-1.924926,-0.005125,0.003809,0.379284,-0.042726,5881827,0,10,0,0,5.036238,0.770117,0.344078,-0.094564,-0.008288,0.12109,-0.007609,0,0,1,0.204754,0.428243,0,-0.000916,-0.041445,139,139
1.0068355585,0.2090881202,-1.933303,-0.009401,0.008391,0.379284,-0.046496,5881927,0,11,0,0,5.030081,0.784323,0.375231,-0.094279,-0.007711,0.120848,-0.008196,0,0,1,0.218384,0.459371,0,-0.000977,-0.044458,149,149
1.0068355585,0.2090881173,-1.899792,-0.005125,0.007016,0.379284,-0.041888,5882027,0,12,0,0,5.023444,0.798294,0.406344,-0.094896,-0.009446,0.12021,-0.008611,0,0,1,0.231763,0.490516,0,-0.001036,-0.047472,159,159
1.0068355585,0.2090881173,-1.928516,-0.004819,0.007933,0.379284,-0.035605,5882127,0,13,0,0,5.016321,0.812095,0.437584,-0.094463,-0.008916,0.121216,-0.008822,0,0,1,0.244904,0.521724,0,-0.001095,-0.050492,169,169
1.0068355614,0.2090881115,-1.950059,-0.009095,0.009002,0.379284,-0.033091,5882227,0,14,0,0,5.008755,0.825658,0.468819,-0.095741,-0.008931,0.121608,-0.008948,0,0,1,0.257784,0.552959,0,-0.001153,-0.053515,179,179
